Platform,Begin_date,End_date,Metric_type,Count,Item_ID_Type,Item_ID_Value,Access_Type,Title,Publisher_ID_Type,Publisher_ID_Value,Publisher
,,,Total_Item_Investigations,3,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
SAGE Journals,2020-01-01,2020-01-31,Total_Item_Requests,3,DOI,10.1177/adra,Controlled,Advances in Dental Research,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,2,Proprietary,sage:adra,,,,,
,,,Total_Item_Investigations,4,Online_ISSN,1544-0737,,,,,
,,,Unique_Item_Investigations,3,Print_ISSN,0895-9374,,,,,
,2020-05-01,2020-05-31,Total_Item_Requests,4,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,4,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
,2020-08-01,2020-08-31,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,2020-10-01,2020-10-31,Total_Item_Requests,3,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,6,,,,,,,
,,,Unique_Item_Investigations,4,,,,,,,
,2020-12-01,2020-12-31,Total_Item_Requests,3,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,3,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
,2020-11-01,2020-11-30,Total_Item_Investigations,2,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SAGE Journals,2020-01-01,2020-01-31,Total_Item_Requests,2,DOI,10.1177/adha,Controlled,Advances in Developing Human Resources,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,2,Proprietary,sage:adha,,,,,
,,,Total_Item_Investigations,2,Online_ISSN,1552-3055,,,,,
,,,Unique_Item_Investigations,2,Print_ISSN,1523-4223,,,,,
,2020-03-01,2020-03-31,Total_Item_Requests,14,,,,,,,
,,,Unique_Item_Requests,6,,,,,,,
,,,Total_Item_Investigations,14,,,,,,,
,,,Unique_Item_Investigations,6,,,,,,,
,2020-05-01,2020-05-31,Total_Item_Requests,2,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,2,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,2020-06-01,2020-06-30,Total_Item_Requests,4,,,,,,,
,,,Unique_Item_Requests,3,,,,,,,
,,,Total_Item_Investigations,5,,,,,,,
,,,Unique_Item_Investigations,3,,,,,,,
,2020-07-01,2020-07-31,Total_Item_Requests,3,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,5,,,,,,,
,,,Unique_Item_Investigations,3,,,,,,,
,2020-08-01,2020-08-31,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,2020-09-01,2020-09-30,Total_Item_Requests,4,,,,,,,
,,,Unique_Item_Requests,3,,,,,,,
,,,Total_Item_Investigations,5,,,,,,,
,,,Unique_Item_Investigations,3,,,,,,,
,2020-10-01,2020-10-31,Total_Item_Requests,10,,,,,,,
,,,Unique_Item_Requests,8,,,,,,,
,,,Total_Item_Investigations,12,,,,,,,
,,,Unique_Item_Investigations,8,,,,,,,
,2020-11-01,2020-11-30,Total_Item_Requests,19,,,,,,,
,,,Unique_Item_Requests,10,,,,,,,
,,,Total_Item_Investigations,19,,,,,,,
,,,Unique_Item_Investigations,10,,,,,,,
,2020-12-01,2020-12-31,Total_Item_Requests,7,,,,,,,
,,,Unique_Item_Requests,4,,,,,,,
,,,Total_Item_Investigations,8,,,,,,,
,,,Unique_Item_Investigations,4,,,,,,,
SAGE Journals,2020-01-01,2020-01-31,Total_Item_Requests,5,DOI,10.1177/adea,OA_Gold,Advances in Mechanical Engineering,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,4,Proprietary,sage:adea,,,,,
,,,Total_Item_Investigations,5,Online_ISSN,1687-8140,,,,,
,,,Unique_Item_Investigations,4,Print_ISSN,1687-8140,,,,,
,2020-02-01,2020-02-29,Total_Item_Requests,17,,,,,,,
,,,Unique_Item_Requests,17,,,,,,,
,,,Total_Item_Investigations,17,,,,,,,
,,,Unique_Item_Investigations,17,,,,,,,
,2020-03-01,2020-03-31,Total_Item_Requests,2,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,2,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
,2020-04-01,2020-04-30,Total_Item_Requests,6,,,,,,,
,,,Unique_Item_Requests,5,,,,,,,
,,,Total_Item_Investigations,6,,,,,,,
,,,Unique_Item_Investigations,5,,,,,,,
,2020-08-01,2020-08-31,Total_Item_Requests,3,,,,,,,
,,,Unique_Item_Requests,3,,,,,,,
,,,Total_Item_Investigations,3,,,,,,,
,,,Unique_Item_Investigations,3,,,,,,,
,2020-09-01,2020-09-30,Total_Item_Requests,4,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,4,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
,2020-10-01,2020-10-31,Total_Item_Requests,2,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,2,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
,2020-11-01,2020-11-30,Total_Item_Requests,2,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,2,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
,2020-12-01,2020-12-31,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
SAGE Journals,2020-02-01,2020-02-29,Total_Item_Requests,1,DOI,10.1177/asea,Controlled,Advances in Structural Engineering,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:asea,,,,,
,,,Total_Item_Investigations,1,Online_ISSN,2048-4011,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,1369-4332,,,,,
SAGE Journals,2020-08-01,2020-08-31,Total_Item_Requests,2,DOI,10.1177/affa,Controlled,Affilia,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:affa,,,,,
,,,Total_Item_Investigations,2,Online_ISSN,1552-3020,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,0886-1099,,,,,
SAGE Journals,2020-09-01,2020-09-30,Total_Item_Requests,3,DOI,10.1177/agsa,Controlled,Agrarian South: Journal of Political Economy,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:agsa,,,,,
,,,Total_Item_Investigations,3,Online_ISSN,2321-0281,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,2277-9760,,,,,
,2020-12-01,2020-12-31,Total_Item_Requests,2,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,2,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
SAGE Journals,2020-03-01,2020-03-31,Total_Item_Requests,3,DOI,10.1177/alaa,Controlled,Alexandria,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,2,Proprietary,sage:alaa,,,,,
,,,Total_Item_Investigations,3,Online_ISSN,2050-4551,,,,,
,,,Unique_Item_Investigations,2,Print_ISSN,0955-7490,,,,,
,2020-06-01,2020-06-30,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
SAGE Journals,2020-08-01,2020-08-31,Total_Item_Requests,1,DOI,10.1177/aara,OA_Gold,Allergy & Rhinology,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:aara,,,,,
,,,Total_Item_Investigations,1,Online_ISSN,2152-6567,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,2152-6567,,,,,
SAGE Journals,2020-02-01,2020-02-29,Total_Item_Requests,1,DOI,10.1177/aljb,Controlled,Alternative Law Journal,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:aljb,,,,,
,,,Total_Item_Investigations,1,Online_ISSN,2398-9084,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,1037-969X,,,,,
,2020-03-01,2020-03-31,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
